"TOA5","10560","CR3000","10560","CR3000.Std.28","CPU:DSI-SO-298394.CR3","31431","flux"
"TIMESTAMP","RECORD","Hs","tau","u_star","Ts_stdev","Ts_Ux_cov","Ts_Uy_cov","Ts_Uz_cov","Ux_stdev","Ux_Uy_cov","Ux_Uz_cov","Uy_stdev","Uy_Uz_cov","Uz_stdev","wnd_spd","rslt_wnd_spd","wnd_dir_sonic","std_wnd_dir","wnd_dir_compass","Ux_Avg","Uy_Avg","Uz_Avg","Ts_Avg","sonic_azimuth","sonic_samples_Tot","diag_sonic_aggregate","no_sonic_head_Tot","no_new_sonic_data_Tot","sonic_amp_l_f_Tot","sonic_amp_h_f_Tot","sonic_sig_lck_f_Tot","sonic_del_T_f_Tot","sonic_aq_sig_f_Tot","sonic_cal_err_f_Tot","Fc_wpl","LE_wpl","Hc","CO2_stdev","CO2_Ux_cov","CO2_Uy_cov","CO2_Uz_cov","H2O_stdev","H2O_Ux_cov","H2O_Uy_cov","H2O_Uz_cov","Tc_stdev","Tc_Ux_cov","Tc_Uy_cov","Tc_Uz_cov","CO2_mean","H2O_mean","amb_tmpr_Avg","amb_press_mean","Tc_mean","rho_a_mean","Fc_irga","LE_irga","CO2_wpl_LE","CO2_wpl_H","H2O_wpl_LE","H2O_wpl_H","irga_samples_Tot","diag_irga_aggregate","no_irga_head_Tot","no_new_irga_data_Tot","irga_bad_data_f_Tot","irga_gen_fault_f_Tot","irga_startup_f_Tot","irga_motor_spd_f_Tot","irga_tec_tmpr_f_Tot","irga_src_pwr_f_Tot","irga_src_tmpr_f_Tot","irga_src_curr_f_Tot","irga_off_f_Tot","irga_sync_f_Tot","irga_amb_tmpr_f_Tot","irga_amb_press_f_Tot","irga_CO2_I_f_Tot","irga_CO2_Io_f_Tot","irga_H2O_I_f_Tot","irga_H2O_Io_f_Tot","irga_CO2_Io_var_f_Tot","irga_H2O_Io_var_f_Tot","irga_CO2_sig_strgth_f_Tot","irga_H2O_sig_strgth_f_Tot","irga_cal_err_f_Tot","irga_htr_ctrl_off_f_Tot","CO2_sig_strgth_mean","H2O_sig_strgth_mean","T_tmpr_rh_mean","e_tmpr_rh_mean","e_sat_tmpr_rh_mean","H2O_tmpr_rh_mean","RH_tmpr_rh_mean","rho_a_tmpr_rh_mean","Rn_Avg","Rn_meas_Avg","precip_Tot","panel_tmpr_Avg","batt_volt_Avg","process_time_Avg","process_time_Max","buff_depth_Max","slowsequence_Tot"
"2019-06-21 18:30:00",9403,"NAN",-1.764454E-006,0.7560716,0.3340105,0.016865,0.3316311,0.09293921,1.591243,-0.2200247,-0.0142022,2.092264,0.5714678,1.005759,3.859739,3.480137,-109.8853,25.40215,109.8853,-1.183731,-3.272645,0.3293323,24.09587,0,18000,0,0,0,0,0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",21.78889,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,257,0,0,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN","NAN",-37.69232,0.0005518346,0.02393153,0.00507955,2.305889,-3.086629E-006,426.4732,423.9264,0,26.43784,10.84168,22119.27,38743,0,360
"2019-06-21 19:00:00",9404,"NAN",-3.238464E-006,1.028454,0.3682958,-0.005843387,0.6196635,0.1348885,1.57223,-0.4676958,-0.1880913,2.774485,1.040859,1.236889,5.02455,4.680705,-101.9461,21.18936,101.9461,-0.9688688,-4.579337,0.07455592,24.47505,0,18000,0,0,0,0,0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",22.32365,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,257,0,0,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN","NAN",-37.70762,0.0005473507,0.0238946,0.005038603,2.290688,-3.061748E-006,439.1022,431.3916,0,27.08106,10.84866,22122.74,43452,0,360
"2019-06-21 19:30:00",9405,"NAN",-1.89288E-006,0.7889033,0.2962218,0.00889226,0.3700147,0.06549665,1.603644,-0.5083189,-0.1173725,2.927159,0.6112006,1.045786,6.675564,6.437059,-85.50137,15.3105,85.50137,0.5048929,-6.417223,-0.2050473,25.15446,0,18000,0,0,0,0,0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",22.97037,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,257,0,0,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN","NAN",-37.71999,0.000543687,0.02386477,0.00500514,2.278199,-3.041414E-006,441.5724,421.8258,0,27.64703,10.85615,22083.08,39318,0,360
"2019-06-21 20:00:00",9406,"NAN",-2.465841E-006,0.896203,0.3235029,-0.0716233,0.4668992,0.1115734,1.466628,-0.7833316,-0.1498313,2.724508,0.7890808,1.099454,5.376338,5.104075,-93.78757,18.22787,93.78757,-0.3371627,-5.092926,-0.1260047,26.00616,0,11338,0,0,0,0,0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",23.90679,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,257,0,0,11338,0,0,0,0,0,0,0,11338,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN","NAN",-37.70256,0.0005488554,0.02390681,0.005052346,2.295812,-3.070098E-006,412.3836,402.5431,0,28.47487,10.87727,21896.56,39474,0,227
"2019-06-21 20:30:00",9407,"NAN",-2.793192E-006,0.9505065,0.2998101,-0.05194491,0.3727347,0.07557455,1.588223,-0.8546779,-0.1478195,3.068286,0.8912879,1.110908,5.828398,5.544797,-92.38708,17.8675,92.38708,-0.2309434,-5.540002,-0.09115302,26.48905,0,17996,2,0,0,0,4,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",24.39931,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,257,0,0,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN","NAN",-37.68942,0.0005527394,0.02393858,0.005087815,2.30899,-3.091652E-006,347.3569,336.5125,0,28.898,10.87182,21867.22,38517,0,360
"2019-06-21 21:00:00",9408,"NAN",-3.88477E-006,1.127951,0.2379604,-0.01971316,0.3286928,0.07610254,2.0075,-1.305738,-0.09636724,3.390909,1.268618,1.440077,8.042674,7.720434,-91.82779,16.2134,91.82779,-0.2462469,-7.716535,-0.2725582,26.85248,0,17997,2,0,0,0,3,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",24.91691,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,257,0,0,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN","NAN",-37.7128,0.0005458481,0.02388213,0.005024882,2.285592,-3.05341E-006,319.2988,297.9989,0,29.26332,10.8743,21850.5,43971,0,360
"2019-06-21 21:30:00",9409,"NAN",-2.558756E-006,0.9176883,0.307516,0.04548711,0.8034038,0.06668824,2.252077,-0.9287586,-0.2126637,3.813585,0.8148582,1.262841,7.435571,7.041811,-83.67435,18.6399,83.67435,0.775858,-6.998944,-0.1991038,27.01606,0,18000,0,0,0,0,0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",25.11546,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,257,0,0,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN","NAN",-37.72203,0.0005431357,0.02385983,0.005000108,2.27636,-3.038355E-006,358.3188,339.3525,0,29.38489,10.87817,21877.45,39275,0,360
"2019-06-21 22:00:00",9410,"NAN",-4.478511E-006,1.215944,0.2509581,-0.01444984,0.4293163,0.08775108,2.244581,-1.261935,-0.08768702,3.671073,1.475918,1.522591,8.436845,8.06139,-90.5835,17.08732,90.5835,-0.08209543,-8.06098,-0.2326818,26.69332,0,17993,2,0,0,0,7,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",24.81425,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,257,0,0,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN","NAN",-37.72781,0.0005414586,0.02384594,0.004984791,2.270654,-3.029048E-006,271.7076,252.2052,0,29.41048,10.87694,21888.94,38441,0,360
"2019-06-21 22:30:00",9411,"NAN",-2.523546E-006,0.9133186,0.1875115,-0.01913275,0.2746429,0.04636848,1.775496,-0.6243699,-0.09928888,2.931878,0.8282206,1.190206,6.330999,6.006495,-89.76163,18.33827,89.76163,0.02498963,-6.006466,-0.1870962,26.66283,0,18000,0,0,0,0,0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",24.73263,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,257,0,0,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN","NAN",-37.73022,0.0005407807,0.0238401,0.004978601,2.268366,-3.025287E-006,166.6692,160.4977,0,29.17542,10.87678,21880.22,39845,0,360
"2019-06-21 23:00:00",9412,"NAN",-2.603039E-006,0.9256259,0.1794928,0.0242461,0.2412224,0.04163167,2.01069,-0.4005421,-0.03462672,3.172063,0.8560833,1.296817,7.801537,7.498724,-87.42346,15.95813,87.42346,0.3370946,-7.491141,-0.2592406,26.4336,0,18000,0,0,0,0,0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",24.54777,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,257,0,0,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAN","NAN",-37.72211,0.0005430994,0.02385966,0.004999776,2.276224,-3.038153E-006,93.36218,87.74911,0,28.85355,10.86623,21872.92,39481,0,360
